filename,GEO
GSM1249142_Ebf2._rep1.CEL.gz,GSE51608
GSM1249143_Ebf2._rep2.CEL.gz,GSE51608
GSM1249144_Ebf2._rep3.CEL.gz,GSE51608
GSM925429_Mc3T3.E1_T0.1.CEL.gz,GSE37676
GSM925430_Mc3T3.E1_T0.2.CEL.gz,GSE37676
GSM925431_Mc3T3.E1_T0.3.CEL.gz,GSE37676
GSM925432_Mc3T3.E1_T1.1.CEL.gz,GSE37676
GSM925433_Mc3T3.E1_T1.2.CEL.gz,GSE37676
GSM925434_Mc3T3.E1_T1.3.CEL.gz,GSE37676
GSM479031.CEL.gz,GSE19299
GSM479032.CEL.gz,GSE19299
GSM479033.CEL.gz,GSE19299
GSM479034.CEL.gz,GSE19299
GSM479035.CEL.gz,GSE19299
GSM479036.CEL.gz,GSE19299
GSM279010.CEL.gz,GSE11040
GSM279011.CEL.gz,GSE11040
GSM279012.CEL.gz,GSE11040
GSM279013.CEL.gz,GSE11040
GSM279014.CEL.gz,GSE11040
GSM279015.CEL.gz,GSE11040
GSM105147.CEL.gz,GSE4658
GSM105148.CEL.gz,GSE4658
GSM105149.CEL.gz,GSE4658
GSM105150.CEL.gz,GSE4658
GSM105151.CEL.gz,GSE4658
GSM105152.CEL.gz,GSE4658
GSM1083266_E11_SostKOSostLKO_1.CEL.gz,GSE44325
GSM1083267_E11_SostKOSostLKO_2.CEL.gz,GSE44325
GSM1083268_E11_WT1.CEL.gz,GSE44325
GSM1083269_E11_WT2.CEL.gz,GSE44325
GSM1083270_E11_WT3.CEL.gz,GSE44325
GSM1111362_BMM.CEL.gz,GSE45656
GSM1111363_pOC.CEL.gz,GSE45656
GSM1111364_mOCp.CEL.gz,GSE45656
GSM1111365_mOCd.CEL.gz,GSE45656
GSM1072316_pes1_WT_OB_I.CEL.gz,GSE43854
GSM1072317_pes1_WT_OB_II.CEL.gz,GSE43854
GSM1072318_pes1_KI_OB_I.CEL.gz,GSE43854
GSM1072319_pes1_KI_OB_II.CEL.gz,GSE43854
GSM1162741_MG430_2_TBA_1.CEL.gz,GSE47935
GSM1162742_MG430_2_TBA_2.CEL.gz,GSE47935
GSM1162743_MG430_2_LBA_1.CEL.gz,GSE47935
GSM1162744_MG430_2_LBA_2.CEL.gz,GSE47935
GSM541677_INS.1_430_2.0.CEL.gz,GSE21710
GSM541678_INS.2_430_2.0.CEL.gz,GSE21710
GSM541679_INS.3_430_2.0.CEL.gz,GSE21710
GSM541680_INS.4_430_2.0.CEL.gz,GSE21710
GSM162807.cel.gz,GSE7038
GSM162863.cel.gz,GSE7038
GSM216535.CEL.gz,GSE7038
GSM216536.CEL.gz,GSE7038
GSM830088.CEL.gz,GSE33567
GSM830089.CEL.gz,GSE33567
GSM830090.CEL.gz,GSE33567
GSM437797.CEL.gz,GSE17570
GSM437798.CEL.gz,GSE17570
GSM437799.CEL.gz,GSE17570
GSM437794.CEL.gz,GSE17569
GSM437795.CEL.gz,GSE17569
GSM437796.CEL.gz,GSE17569
GSM1838542_schi13_d5_0_.CEL.gz,GSE71565
GSM1838543_schi13_d12_0_.CEL.gz,GSE71565
GSM1151246_schi12_3a_Normal.CEL.gz,GSE47505
GSM1151247_schi12_3b_PO4_2..CEL.gz,GSE47505
GSM851161_Osteoblast_DMSO.CEL.gz,GSE34570
GSM851162_Osteoblast_PP1.CEL.gz,GSE34570
